date,product_id,total_amt
2019-01-01,438b7061,4739.24
2019-01-01,cff49f0b,2296.55
2019-01-01,51fefc12,917.03
2019-01-01,25889643,495.49
2019-01-01,d6f5a85d,2107.92
2019-01-01,6ce8243f,856.94
2019-01-01,e4aa83b4,3704.42
2019-01-01,ac1d8f46,1679.3
2019-01-01,48f290b8,1987.63
2019-01-01,6b5103d3,3852.77
2019-01-01,f090045a,4430.44
2019-01-01,0b92562a,2106.39
2019-01-01,0fc11b43,3390.29
2019-01-01,7d04626d,2605.37
2019-01-01,6d5c0f3a,470.22
2019-01-01,03ad299e,997.38
2019-01-01,f86e7f85,2301.33
2019-01-01,7c96a8da,6843.34
2019-01-01,77d3ae82,1668.61
2019-01-01,953f024e,1890.05
2019-01-01,d6e3dc6b,3730.23
2019-01-01,60a467f8,1980.38
2019-01-01,6f362a61,1203.05
2019-01-01,aa4d9791,2169.79
2019-01-01,0ef6cf31,3467.53
2019-01-01,158e30b6,1773.04
2019-01-01,86d58470,299.77
2019-01-01,fdcf3ec5,2270.96
2019-01-01,3674e47c,3491.15
2019-01-01,6fa956df,1251.19
2019-01-01,2abfd465,3000.9
2019-01-01,8ecc4ea7,2228.29
2019-01-01,e736ba5d,5591.04
2019-01-01,1ec17bcb,2594.37
2019-01-01,f4764585,2968.16
2019-01-01,7641224e,4445.31
2019-01-01,21083fe9,6357.92
2019-01-01,4cc344a0,4211.88
2019-01-01,2a2e3796,5956.84
2019-01-01,dc0242cd,3619.58
2019-01-01,367ff926,1557.74
2019-01-01,0f435173,4736.1
2019-01-01,aa2de5b6,3494.66
2019-01-01,528d9cff,1455.61
2019-01-01,4230361c,1199.85
2019-01-01,aee81942,3584.09
2019-01-01,c8c71204,3235.38
2019-01-01,e1c6f101,2656.04
2019-01-01,047edd4d,1092.11
2019-01-01,e129c4bf,2757.86
2019-01-01,7e701719,5959.44
2019-01-01,a16ef134,4723.79
2019-01-01,f7577ae9,796.18
2019-01-01,2bfe7621,1510.33
2019-01-01,f69f3b4a,669.63
2019-01-01,722aa0d5,908.01
2019-01-01,785c1948,1108.04
2019-01-01,a1e0ce88,796.83
2019-01-01,c720b985,3599.38
2019-01-01,a1193aba,2169.36
2019-01-01,2bcee1f9,2881.35
2019-01-01,a4b3ec15,3627.2
2019-01-01,d749f7e0,2375.84
2019-01-01,fdc3c68d,2067.12
2019-01-01,31d08250,2409.54
2019-01-01,d075be3d,1213.81
2019-01-01,44b90490,401.55
2019-01-01,e5dd56b9,2282.94
2019-01-01,733f4982,5638.62
2019-01-01,677c489b,2794.23
2019-01-01,97c23de4,4625.44
2019-01-01,ebce9a73,1154.21
2019-01-01,8ce1c0c5,2865.03
2019-01-01,cf48c632,481.03
2019-01-01,7dfc933f,6023.15
2019-01-01,31d98a6a,2628.99
2019-01-01,7f247171,3601.86
2019-01-01,09ced772,3513.65
2019-01-01,a3b43849,3730.43
2019-01-01,fa43322a,3738.74
2019-01-01,69d0a9b3,1726.18
2019-01-01,14baa982,3412.32
2019-01-01,0cabc07c,5199.07
2019-01-01,5ee3ad1d,2372.03
2019-01-01,61a123f8,1534.71
2019-01-01,89d58076,310.76
2019-01-01,8ec0400b,3715.74
2019-01-01,a6d13cea,3404.79
2019-01-01,1fbbaa65,313.16
2019-01-01,c8575c03,5059.14
2019-01-01,829c4f6b,4102.33
2019-01-01,8e351335,2614.29
2019-01-01,95f5388c,1008.28
2019-01-01,78f0fbc7,6798.09
2019-01-01,dda1674e,2136.62
2019-01-01,5795f5b1,915.31
2019-01-01,e9777645,1857.73
2019-01-01,73ac53dc,1398.29
2019-01-01,745365ef,4667.3
2019-01-01,aa86fa16,3157.0
2019-01-01,6af326d8,2168.24
2019-01-01,f8f359db,1624.47
2019-01-01,f6580645,1759.88
2019-01-01,b657483d,4016.65
2019-01-01,05065d8d,2226.38
2019-01-01,ee4130cb,542.48
2019-01-01,bc7eaa47,4032.24
2019-01-01,5fa00ef2,5268.73
2019-01-01,df29eacd,801.06
2019-01-01,2795e32e,3353.4
2019-01-01,5182fb4d,3038.78
2019-01-01,6b9a799c,405.22
2019-01-01,17d73797,3000.13
2019-01-01,903d9cff,3151.89
2019-01-01,319ed717,2206.28
2019-01-01,a72fb910,4333.13
2019-01-01,af20bca1,1826.97
2019-01-01,509fce59,2050.92
2019-01-01,8e89ccd1,4508.38
2019-01-01,14ef30b8,1951.6
2019-01-01,2496461c,5018.92
2019-01-01,a637f4f2,2929.35
2019-01-01,335bf47b,1033.47
2019-01-01,eac052c5,4017.09
2019-01-01,573b3140,638.99
2019-01-01,f33d73ff,4419.82
2019-01-01,257803a3,3861.0
2019-01-02,8f40b54f,467.04
2019-01-02,e28e301a,2627.12
2019-01-02,438b7061,3813.64
2019-01-02,cff49f0b,1695.13
2019-01-02,51fefc12,922.29
2019-01-02,25889643,247.43
2019-01-02,d6f5a85d,1860.0
2019-01-02,6ce8243f,642.25
2019-01-02,e4aa83b4,3107.37
2019-01-02,ac1d8f46,1086.35
2019-01-02,48f290b8,1787.76
2019-01-02,f090045a,4318.49
2019-01-02,0b92562a,2095.2
2019-01-02,0fc11b43,3566.29
2019-01-02,7d04626d,2707.24
2019-01-02,6d5c0f3a,193.78
2019-01-02,03ad299e,954.71
2019-01-02,f86e7f85,2748.72
2019-01-02,7c96a8da,5499.64
2019-01-02,77d3ae82,1878.14
2019-01-02,953f024e,1770.36
2019-01-02,d6e3dc6b,2744.07
2019-01-02,6f362a61,1528.78
2019-01-02,aa4d9791,1871.62
2019-01-02,158e30b6,2060.18
2019-01-02,86d58470,278.29
2019-01-02,3674e47c,2137.04
2019-01-02,6fa956df,1906.25
2019-01-02,2abfd465,2549.11
2019-01-02,49a27a8c,1204.14
2019-01-02,8ecc4ea7,2338.42
2019-01-02,e736ba5d,4089.7
2019-01-02,1ec17bcb,3200.38
2019-01-02,f4764585,2268.11
2019-01-02,7641224e,4148.28
2019-01-02,21083fe9,4933.81
2019-01-02,4cc344a0,3859.57
2019-01-02,2a2e3796,6116.73
2019-01-02,dc0242cd,3271.47
2019-01-02,367ff926,1631.82
2019-01-02,0f435173,4052.56
2019-01-02,aa2de5b6,2980.99
2019-01-02,528d9cff,1250.53
2019-01-02,4230361c,964.57
2019-01-02,aee81942,2680.79
2019-01-02,c8c71204,2571.59
2019-01-02,e1c6f101,2137.32
2019-01-02,047edd4d,938.57
2019-01-02,e129c4bf,3805.66
2019-01-02,7e701719,3255.64
2019-01-02,a16ef134,4381.5
2019-01-02,f7577ae9,563.06
2019-01-02,2bfe7621,1437.71
2019-01-02,f69f3b4a,571.18
2019-01-02,722aa0d5,922.76
2019-01-02,785c1948,1454.88
2019-01-02,a1e0ce88,662.32
2019-01-02,a1193aba,2699.82
2019-01-02,83aa2744,3413.91
2019-01-02,2bcee1f9,2528.6
2019-01-02,a4b3ec15,3082.26
2019-01-02,d749f7e0,1824.81
2019-01-02,fdc3c68d,1965.12
2019-01-02,31d08250,2149.22
2019-01-02,d075be3d,1042.76
2019-01-02,44b90490,256.62
2019-01-02,e5dd56b9,1661.68
2019-01-02,733f4982,3758.91
2019-01-02,4c437167,2896.45
2019-01-02,97c23de4,5109.69
2019-01-02,ebce9a73,553.02
2019-01-02,8ce1c0c5,2764.43
2019-01-02,bfacfbf0,3993.1
2019-01-02,cf48c632,409.57
2019-01-02,55f0281b,861.73
2019-01-02,7dfc933f,4232.26
2019-01-02,31d98a6a,1769.94
2019-01-02,7f247171,2595.42
2019-01-02,09ced772,2605.08
2019-01-02,a3b43849,2516.34
2019-01-02,fa43322a,3851.8
2019-01-02,69d0a9b3,994.58
2019-01-02,14baa982,1984.87
2019-01-02,0cabc07c,4806.1
2019-01-02,5ee3ad1d,1779.93
2019-01-02,61a123f8,1113.53
2019-01-02,89d58076,332.78
2019-01-02,8ec0400b,3614.95
2019-01-02,a6d13cea,2336.35
2019-01-02,1fbbaa65,405.45
2019-01-02,829c4f6b,2927.09
2019-01-02,8e351335,2149.56
2019-01-02,95f5388c,926.93
2019-01-02,dda1674e,2270.48
2019-01-02,5795f5b1,1116.66
2019-01-02,e9777645,1263.85
2019-01-02,73ac53dc,891.87
2019-01-02,745365ef,4009.6
2019-01-02,aa86fa16,2697.43
2019-01-02,6af326d8,1543.53
2019-01-02,f8f359db,1101.75
2019-01-02,f6580645,1615.35
2019-01-02,b657483d,3378.25
2019-01-02,05065d8d,1918.18
2019-01-02,ee4130cb,584.45
2019-01-02,bc7eaa47,3106.07
2019-01-02,5fa00ef2,3161.49
2019-01-02,df29eacd,1079.74
2019-01-02,2795e32e,1646.76
2019-01-02,5182fb4d,3172.98
2019-01-02,077ef06b,4031.17
2019-01-02,6b9a799c,395.77
2019-01-02,17d73797,2631.4
2019-01-02,903d9cff,2419.04
2019-01-02,319ed717,1318.92
2019-01-02,a72fb910,4579.06
2019-01-02,af20bca1,2188.36
2019-01-02,509fce59,1676.27
2019-01-02,8e89ccd1,4827.44
2019-01-02,14ef30b8,1662.76
2019-01-02,2496461c,3998.67
2019-01-02,335bf47b,744.87
2019-01-02,eac052c5,2723.36
2019-01-02,573b3140,465.76
2019-01-02,f33d73ff,2425.1
2019-01-02,257803a3,3738.34
2019-01-03,8f40b54f,709.93
2019-01-03,e28e301a,1964.3
2019-01-03,438b7061,3755.03
2019-01-03,cff49f0b,1604.04
2019-01-03,51fefc12,855.75
2019-01-03,25889643,261.72
2019-01-03,d6f5a85d,1607.72
2019-01-03,e4aa83b4,2698.76
2019-01-03,ac1d8f46,1186.93
2019-01-03,48f290b8,1728.57
2019-01-03,6b5103d3,3727.37
2019-01-03,f090045a,3698.29
2019-01-03,0b92562a,1744.92
2019-01-03,0fc11b43,4171.71
2019-01-03,7d04626d,2677.15
2019-01-03,6d5c0f3a,286.43
2019-01-03,f86e7f85,2550.43
2019-01-03,7c96a8da,4561.13
2019-01-03,77d3ae82,1770.4
2019-01-03,953f024e,1937.27
2019-01-03,d6e3dc6b,2425.61
2019-01-03,60a467f8,2414.34
2019-01-03,6f362a61,1387.31
2019-01-03,aa4d9791,1544.83
2019-01-03,0ef6cf31,3240.84
2019-01-03,158e30b6,2003.07
2019-01-03,86d58470,351.34
2019-01-03,fdcf3ec5,1820.44
2019-01-03,3674e47c,2275.39
2019-01-03,6fa956df,1311.46
2019-01-03,2abfd465,2277.79
2019-01-03,49a27a8c,1024.23
2019-01-03,8ecc4ea7,2494.12
2019-01-03,e736ba5d,4235.09
2019-01-03,1ec17bcb,2757.88
2019-01-03,f4764585,2470.83
2019-01-03,7641224e,4785.09
2019-01-03,4cc344a0,5031.64
2019-01-03,2a2e3796,5314.1
2019-01-03,dc0242cd,3221.91
2019-01-03,0f435173,4276.95
2019-01-03,aa2de5b6,3912.91
2019-01-03,528d9cff,964.72
2019-01-03,4230361c,977.12
2019-01-03,aee81942,3408.0
2019-01-03,c8c71204,2323.09
2019-01-03,e1c6f101,2001.28
2019-01-03,047edd4d,1067.66
2019-01-03,e129c4bf,3267.76
2019-01-03,7e701719,3881.07
2019-01-03,a16ef134,4635.8
2019-01-03,f7577ae9,459.34
2019-01-03,2bfe7621,1881.51
2019-01-03,f69f3b4a,519.63
2019-01-03,722aa0d5,1076.93
2019-01-03,785c1948,1347.71
2019-01-03,a1e0ce88,669.44
2019-01-03,c720b985,2994.72
2019-01-03,a1193aba,2442.13
2019-01-03,83aa2744,3555.01
2019-01-03,2bcee1f9,2492.07
2019-01-03,a4b3ec15,3739.61
2019-01-03,d749f7e0,2408.76
2019-01-03,fdc3c68d,2178.56
2019-01-03,31d08250,3008.31
2019-01-03,44b90490,235.83
2019-01-03,e5dd56b9,2177.47
2019-01-03,733f4982,4316.81
2019-01-03,677c489b,3376.32
2019-01-03,4c437167,3437.67
2019-01-03,97c23de4,5263.58
2019-01-03,ebce9a73,833.88
2019-01-03,8ce1c0c5,2410.44
2019-01-03,bfacfbf0,3268.4
2019-01-03,cf48c632,444.2
2019-01-03,55f0281b,706.1
2019-01-03,7dfc933f,4061.23
2019-01-03,31d98a6a,1712.62
2019-01-03,7f247171,2647.43
2019-01-03,09ced772,2975.85
2019-01-03,a3b43849,2089.02
2019-01-03,fa43322a,4256.7
2019-01-03,69d0a9b3,1250.15
2019-01-03,14baa982,2306.17
2019-01-03,0cabc07c,4317.05
2019-01-03,5ee3ad1d,2063.49
2019-01-03,61a123f8,1276.97
2019-01-03,89d58076,398.45
2019-01-03,8ec0400b,2789.59
2019-01-03,a6d13cea,3039.67
2019-01-03,1fbbaa65,428.42
2019-01-03,c8575c03,3592.66
2019-01-03,829c4f6b,2729.09
2019-01-03,8e351335,2580.04
2019-01-03,95f5388c,882.52
2019-01-03,78f0fbc7,5930.04
2019-01-03,dda1674e,2303.33
2019-01-03,5795f5b1,1187.05
2019-01-03,e9777645,1254.51
2019-01-03,73ac53dc,870.19
2019-01-03,745365ef,4064.08
2019-01-03,aa86fa16,3034.48
2019-01-03,6af326d8,2068.49
2019-01-03,f8f359db,1181.02
2019-01-03,f6580645,1445.9
2019-01-03,b657483d,3463.89
2019-01-03,05065d8d,1656.95
2019-01-03,ee4130cb,598.84
2019-01-03,bc7eaa47,3688.66
2019-01-03,5fa00ef2,3045.09
2019-01-03,df29eacd,982.45
2019-01-03,2795e32e,1810.35
2019-01-03,5182fb4d,2599.65
2019-01-03,6b9a799c,366.59
2019-01-03,17d73797,2948.15
2019-01-03,903d9cff,3267.99
2019-01-03,319ed717,1816.16
2019-01-03,a72fb910,5030.15
2019-01-03,af20bca1,2504.66
2019-01-03,509fce59,1677.16
2019-01-03,8e89ccd1,4128.7
2019-01-03,2496461c,4509.43
2019-01-03,335bf47b,601.1
2019-01-03,eac052c5,3505.48
2019-01-03,573b3140,598.81
2019-01-03,f33d73ff,3897.25
2019-01-03,257803a3,2588.64
2019-01-04,8f40b54f,505.68
2019-01-04,e28e301a,3155.48
2019-01-04,438b7061,3005.66
2019-01-04,cff49f0b,1743.93
2019-01-04,25889643,262.65
2019-01-04,d6f5a85d,2504.39
2019-01-04,6ce8243f,662.62
2019-01-04,e4aa83b4,3100.33
2019-01-04,ac1d8f46,1594.71
2019-01-04,48f290b8,1285.97
